,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI
399,2011-08-03,CL,351961.0,116086.0,93943.0,1536175.0
400,2011-08-04,CL,345637.0,124783.0,97661.0,1546127.0
401,2011-08-05,CL,327694.0,143359.0,105406.0,1546068.0
402,2011-08-08,CL,302179.0,166120.0,113612.0,1553276.0
403,2011-08-09,CL,271589.0,193132.0,121741.0,1564480.0
404,2011-08-10,CL,247528.0,214494.0,133336.0,1580298.0
405,2011-08-11,CL,215412.0,239210.0,140069.0,1580041.0
406,2011-08-12,CL,203031.0,242672.0,143025.0,1574778.0
407,2011-08-15,CL,170220.0,253216.0,144991.0,1562834.0
408,2011-08-16,CL,130701.0,275622.0,147646.0,1553021.0
409,2011-08-17,CL,82463.0,297012.0,146489.0,1520485.0
410,2011-08-18,CL,53694.0,307645.0,143993.0,1496057.0
411,2011-08-19,CL,19072.0,312124.0,143976.0,1473009.0
412,2011-08-22,CL,3203.0,314873.0,145297.0,1464806.0
413,2011-08-23,CL,314556.0,145834.0,198227.0,1465153.0
414,2011-08-24,CL,307265.0,149428.0,199751.0,1464463.0
415,2011-08-25,CL,304999.0,151897.0,199491.0,1473138.0
416,2011-08-26,CL,301629.0,156643.0,202995.0,1482421.0
417,2011-08-29,CL,294270.0,162939.0,203041.0,1483913.0
418,2011-08-30,CL,288298.0,172144.0,203192.0,1494803.0
