,CO1 Comdty ,CO2 Comdty ,CO3 Comdty,S:COCO 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2011-08-30,184907.0,91111.0,86353.0,53580.0
2011-08-31,212628.0,126983.0,118946.0,72461.0
2011-09-01,179417.0,96866.0,89789.0,52629.0
2011-09-02,227677.0,126656.0,115033.0,69336.0
2011-09-05,78914.0,49409.0,34064.0,31125.0
2011-09-06,188944.0,110545.0,93523.0,58499.0
2011-09-07,193492.0,122568.0,105012.0,61852.0
2011-09-08,190728.0,154391.0,142893.0,72795.0
2011-09-09,202666.0,179375.0,134122.0,81351.0
2011-09-12,159203.0,200816.0,173937.0,68487.0
2011-09-13,133942.0,203893.0,171651.0,59024.0
2011-09-14,85044.0,216215.0,140852.0,55836.0
2011-09-15,17007.0,238120.0,145089.0,13982.0
2011-09-16,219606.0,173545.0,46769.0,95227.0
2011-09-19,166597.0,103728.0,29224.0,60017.0
2011-09-20,183665.0,127998.0,41453.0,68075.0
2011-09-21,207912.0,159163.0,60004.0,82833.0
2011-09-22,305825.0,229767.0,69108.0,118173.0
2011-09-23,244205.0,174718.0,52426.0,82575.0
2011-09-26,200581.0,145228.0,40553.0,68147.0
2011-09-27,219790.0,182505.0,59178.0,82721.0
2011-09-28,207766.0,164268.0,48058.0,77265.0
2011-09-29,220409.0,160379.0,47249.0,78370.0
2011-09-30,243642.0,205807.0,68318.0,102718.0
2011-10-03,203332.0,156693.0,56625.0,80927.0
2011-10-04,264826.0,236765.0,87428.0,110016.0
2011-10-05,215939.0,201086.0,73826.0,98166.0
2011-10-06,192569.0,170610.0,58764.0,81820.0
2011-10-07,170247.0,159778.0,61002.0,75953.0
2011-10-10,162624.0,187281.0,62347.0,87096.0
2011-10-11,180794.0,226725.0,84051.0,86162.0
2011-10-12,126973.0,246058.0,95479.0,73759.0
2011-10-13,59122.0,243007.0,85954.0,39540.0
2011-10-14,19214.0,256383.0,101743.0,14359.0
2011-10-17,203733.0,86727.0,39312.0,58764.0
2011-10-18,267355.0,133173.0,67189.0,84380.0
2011-10-19,250461.0,125383.0,75343.0,81365.0
2011-10-20,277562.0,111908.0,59954.0,70332.0
2011-10-21,190680.0,73516.0,31773.0,47963.0
2011-10-24,188006.0,73351.0,34232.0,48157.0
2011-10-25,256186.0,114485.0,63636.0,66366.0
2011-10-26,205830.0,104245.0,56287.0,63565.0
2011-10-27,238405.0,144346.0,85785.0,79655.0
2011-10-28,187750.0,98186.0,50436.0,55083.0
2011-10-31,169588.0,84660.0,44460.0,47868.0
2011-11-01,239030.0,133134.0,71552.0,76056.0
2011-11-02,238271.0,160822.0,81914.0,92060.0
2011-11-03,224717.0,140168.0,57104.0,85891.0
2011-11-04,178385.0,114077.0,45154.0,67745.0
2011-11-07,186133.0,106682.0,52078.0,54999.0
2011-11-08,224851.0,171243.0,82094.0,97141.0
2011-11-09,271930.0,205563.0,83997.0,116184.0
2011-11-10,223768.0,187009.0,72408.0,96285.0
2011-11-11,132504.0,143788.0,59378.0,70143.0
2011-11-14,122947.0,222222.0,70079.0,79779.0
2011-11-15,20240.0,196617.0,85085.0,16392.0
2011-11-16,270998.0,122501.0,75002.0,67616.0
2011-11-17,269899.0,129094.0,78900.0,78881.0
2011-11-18,207453.0,76455.0,43706.0,48589.0
2011-11-21,183497.0,77672.0,37025.0,49677.0
2011-11-22,215453.0,88116.0,49575.0,56782.0
2011-11-23,193006.0,93356.0,55992.0,54429.0
2011-11-24,66692.0,40740.0,16903.0,23296.0
2011-11-25,128590.0,67658.0,37056.0,38499.0
2011-11-28,209091.0,129528.0,74940.0,75114.0
2011-11-29,223511.0,124924.0,79670.0,74977.0
2011-11-30,231067.0,143670.0,76801.0,86153.0
2011-12-01,187089.0,106093.0,63832.0,61193.0
2011-12-02,156653.0,91054.0,44339.0,54215.0
2011-12-05,145848.0,85057.0,44114.0,48042.0
2011-12-06,135056.0,79552.0,44212.0,46396.0
2011-12-07,167441.0,120281.0,53993.0,61999.0
2011-12-08,172097.0,122228.0,62430.0,59668.0
2011-12-09,159308.0,100546.0,51734.0,49410.0
2011-12-12,141316.0,119294.0,53383.0,57259.0
2011-12-13,156387.0,165400.0,74252.0,78479.0
2011-12-14,98846.0,206314.0,65705.0,63396.0
2011-12-15,14325.0,156605.0,48319.0,10804.0
2011-12-16,140082.0,54324.0,22631.0,34101.0
2011-12-19,147875.0,74378.0,36420.0,49034.0
2011-12-20,170239.0,95668.0,46581.0,57138.0
2011-12-21,145091.0,76498.0,30957.0,46131.0
2011-12-22,111157.0,62973.0,22948.0,38784.0
2011-12-23,64603.0,32017.0,11898.0,19077.0
2011-12-27,50676.0,21890.0,11017.0,10814.0
2011-12-28,114937.0,60052.0,26444.0,33074.0
2011-12-29,108319.0,64762.0,24220.0,38483.0
2011-12-30,93574.0,52765.0,19869.0,27223.0
2012-01-03,178618.0,114149.0,50750.0,59662.0
2012-01-04,221268.0,147945.0,70359.0,76636.0
2012-01-05,205410.0,133734.0,55795.0,67485.0
2012-01-06,190831.0,152738.0,68075.0,79384.0
2012-01-09,203390.0,164340.0,76254.0,81592.0
2012-01-10,186772.0,180303.0,86038.0,79785.0
2012-01-11,191800.0,209286.0,108516.0,91905.0
2012-01-12,148852.0,227777.0,79824.0,81711.0
2012-01-13,108350.0,242271.0,80008.0,71782.0
2012-01-16,15274.0,90612.0,34706.0,9249.0
2012-01-17,189959.0,89943.0,40938.0,60557.0
2012-01-18,213897.0,93719.0,52742.0,58500.0
2012-01-19,173945.0,71861.0,32096.0,44175.0
2012-01-20,161673.0,63949.0,34113.0,37436.0
2012-01-23,143535.0,60944.0,35475.0,32456.0
2012-01-24,178433.0,100273.0,57469.0,58359.0
2012-01-25,234587.0,118448.0,75786.0,64704.0
2012-01-26,195025.0,99245.0,61662.0,55421.0
2012-01-27,218694.0,106788.0,61440.0,57526.0
2012-01-30,163790.0,72871.0,37335.0,39872.0
2012-01-31,238208.0,97142.0,41960.0,56496.0
2012-02-01,210932.0,108510.0,58614.0,58710.0
2012-02-02,213050.0,120603.0,52409.0,71870.0
2012-02-03,235991.0,130116.0,51792.0,75231.0
2012-02-06,212323.0,124842.0,61414.0,62647.0
2012-02-07,245838.0,157363.0,76051.0,73713.0
2012-02-08,217973.0,178552.0,86281.0,80228.0
2012-02-09,189772.0,177160.0,84780.0,84143.0
2012-02-10,169308.0,173624.0,63870.0,84549.0
2012-02-13,120609.0,210271.0,69296.0,77644.0
2012-02-14,24276.0,224146.0,89160.0,19792.0
2012-02-15,223574.0,123259.0,113317.0,75463.0
2012-02-16,205126.0,127259.0,105399.0,71488.0
2012-02-17,183825.0,103956.0,88601.0,56386.0
2012-02-20,64824.0,28529.0,20091.0,17726.0
2012-02-21,156159.0,69711.0,64670.0,38466.0
2012-02-22,180940.0,111989.0,92492.0,59297.0
2012-02-23,214761.0,110391.0,95435.0,60352.0
2012-02-24,146862.0,83083.0,72272.0,43484.0
2012-02-27,177944.0,95858.0,69013.0,54394.0
2012-02-28,195248.0,108713.0,88887.0,63107.0
2012-02-29,243681.0,137121.0,107121.0,79139.0
2012-03-01,260752.0,160572.0,137923.0,85583.0
2012-03-02,196633.0,128541.0,97817.0,67243.0
2012-03-05,166569.0,110515.0,74342.0,60375.0
2012-03-06,233269.0,186980.0,124409.0,100829.0
2012-03-07,199254.0,165046.0,121174.0,78072.0
2012-03-08,191532.0,144716.0,104079.0,71864.0
2012-03-09,140588.0,118918.0,77488.0,58509.0
2012-03-12,151690.0,132236.0,70703.0,70438.0
2012-03-13,133814.0,132933.0,70476.0,60251.0
2012-03-14,106672.0,193938.0,93746.0,67103.0
2012-03-15,20330.0,301263.0,154874.0,18058.0
2012-03-16,159876.0,86801.0,37700.0,45224.0
2012-03-19,128753.0,80143.0,29504.0,41918.0
2012-03-20,185592.0,98089.0,36139.0,47308.0
