,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2018-12-14,60.28,60.4,60.56,7.58,16.47,21.78,,,,,,
2018-12-17,59.61,59.66,59.8,6.91,15.73,21.02,,,,,,
2018-12-18,56.26,56.23,56.38,3.56,12.3,17.6,-437127.0,808815.0,1245942.0,-9184.0,325893.0,335077.0
2018-12-19,57.24,57.45,57.63,4.54,13.52,18.85,,,,,,
2018-12-20,54.35,54.65,54.89,1.65,10.72,16.11,,,,,,
2018-12-21,53.82,54.1,54.3,1.12,10.17,15.52,,,,,,
2018-12-24,50.47,50.77,51.02,-2.23,6.84,12.24,,,,,,
2018-12-25,,,,,,,-409604.0,807947.0,1217551.0,-4476.0,320705.0,325181.0
2018-12-26,54.47,54.76,54.98,1.77,10.83,16.2,,,,,,
2018-12-27,52.16,52.73,52.99,-0.26,8.84,14.26,,,,,,
2018-12-28,52.2,53.21,53.46,0.22,9.31,14.72,,,,,,
2018-12-31,53.8,54.02,54.31,0.81,9.87,15.27,,,,,,
2019-01-01,,,,,,,-407714.0,805600.0,1213314.0,-22016.0,313326.0,335342.0
2019-01-02,54.91,55.15,55.46,1.92,11.0,16.42,,,,,,
2019-01-03,55.95,56.14,56.42,2.96,11.99,17.38,,,,,,
2019-01-04,57.06,57.21,57.46,4.07,13.06,18.42,,,,,,
2019-01-07,57.33,57.55,57.83,4.34,13.4,18.79,,,,,,
2019-01-08,58.72,58.89,59.14,5.73,14.74,20.1,-457429.0,807911.0,1265340.0,-23832.0,319616.0,343448.0
2019-01-09,61.44,61.6,61.83,8.45,17.45,22.79,,,,,,
2019-01-10,61.68,61.81,62.02,8.69,17.66,22.98,,,,,,
2019-01-11,60.48,60.63,60.85,7.49,16.48,21.81,,,,,,
2019-01-14,58.99,59.18,59.44,6.0,15.03,20.4,,,,,,
2019-01-15,60.64,60.78,61.01,7.65,16.63,21.97,-482537.0,842096.0,1324633.0,-28076.0,320150.0,348226.0
2019-01-16,61.32,61.34,61.51,8.33,17.19,22.47,,,,,,
2019-01-17,61.18,61.16,61.32,8.19,17.01,22.28,,,,,,
2019-01-18,62.7,62.59,62.68,9.71,18.44,23.64,,,,,,
2019-01-21,62.74,62.57,62.66,9.75,18.42,23.62,,,,,,
2019-01-22,61.5,61.38,61.52,8.51,17.23,22.48,-511513.0,862874.0,1374387.0,2925.0,331449.0,328524.0
2019-01-23,61.14,61.03,61.17,8.15,16.88,22.13,,,,,,
2019-01-24,61.09,61.16,61.31,8.1,17.01,22.27,,,,,,
2019-01-25,61.64,61.59,61.72,8.65,17.44,22.68,,,,,,
2019-01-28,59.93,59.81,59.91,6.94,15.66,20.87,,,,,,
2019-01-29,61.32,61.2,61.29,8.33,17.05,22.25,-547130.0,789388.0,1336518.0,35119.0,346793.0,311674.0
2019-01-30,61.65,61.54,61.63,8.67,17.39,22.59,,,,,,
2019-01-31,61.89,60.84,60.93,7.97,16.69,21.91,,,,,,
2019-02-01,62.75,62.79,62.85,9.88,18.55,23.74,,,,,,
