,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
5/23/19,35578,95171,36687,15420
5/24/19,35591,95056,36588,14502
5/28/19,42080,91578,35569,18239
5/29/19,31458,78519,34930,14108
5/30/19,21768,75607,42742,9968
5/31/19,5985,85405,47604,4369
6/3/19,81815,47245,21765,27269
6/4/19,97892,79621,50432,34909
6/5/19,78064,54238,32374,25211
6/6/19,71491,43369,25692,21760
6/7/19,74675,51444,35257,21711
6/10/19,57650,39604,27068,15387
6/11/19,71610,60798,34843,27971
6/12/19,81800,77200,43440,34375
6/13/19,64982,57296,30298,22755
6/14/19,54159,41800,18333,20455
6/17/19,49211,47290,22242,18782
6/18/19,39717,57495,25169,16715
6/19/19,38472,75604,33211,20209
6/20/19,24330,69439,33303,10905
6/21/19,56126,146042,86760,33092
6/24/19,29002,92304,52424,14122
6/25/19,33498,92833,50155,16076
6/26/19,31399,126154,99069,15818
6/27/19,25062,75344,47101,10790
6/28/19,8355,75546,47128,5417
7/1/19,76115,60002,28347,27330
7/2/19,65081,46906,25304,19915
7/3/19,80579,61016,32712,29552
7/5/19,56601,48300,21422,21948
7/8/19,77115,56559,26099,22029
7/9/19,76735,68825,29101,32535
7/10/19,99825,97627,46834,44404
7/11/19,79908,79370,41128,34350
7/12/19,77915,71967,40266,33917
7/15/19,73123,69817,34812,29070
7/16/19,68260,53380,23913,23764
7/17/19,59892,59310,24595,22866
7/18/19,52093,58602,26302,20722
7/19/19,39827,64942,26809,18206
7/22/19,36067,64734,28705,18240
7/23/19,30860,60833,25904,14369
7/24/19,35446,84245,37805,18053
7/25/19,29492,72359,31391,12226
7/26/19,32746,78618,35223,15904
7/29/19,17606,64223,26902,7996
7/30/19,22448,70741,34707,10546
7/31/19,6093,96090,66292,4848
8/1/19,90771,52547,16811,32106
8/2/19,85274,51750,19235,29486
8/5/19,66716,45796,16887,24429
8/6/19,81973,61393,22445,33131
8/7/19,90678,69159,30452,32345
8/8/19,61187,52384,24779,20974
8/9/19,69070,46154,19274,21490
8/12/19,56640,41917,23106,18023
8/13/19,71995,62120,32904,28091
8/14/19,73080,65080,29601,29627
8/15/19,63503,53665,19665,28627
8/16/19,55303,46238,15193,22493
8/19/19,34086,40593,16232,12591
8/20/19,28216,46162,16257,11870
8/21/19,37277,66153,23971,17972
8/22/19,26944,57832,22346,14299
8/23/19,32456,69503,27761,13804
8/26/19,32472,64880,21019,15247
8/27/19,27616,70026,29813,12662
8/28/19,22239,86131,42710,12677
8/29/19,18419,82796,51033,9118
8/30/19,6527,81713,49475,5091
9/3/19,96326,71501,44399,31321
9/4/19,69815,46072,27604,18409
9/5/19,62857,44695,25979,18148
9/6/19,67918,42082,26658,18376
9/9/19,69591,49608,26220,22649
9/10/19,75068,65902,39735,29681
9/11/19,83345,68374,41809,28200
9/12/19,65320,57062,40139,21543
9/13/19,53650,47532,32397,17177
9/16/19,89074,106163,76450,37675
9/17/19,92740,118585,83988,44430
9/18/19,39232,66207,38304,19171
9/19/19,48008,82408,51741,25449
9/20/19,34906,67887,31490,17421
9/23/19,30555,58969,26886,13100
9/24/19,31433,66123,31717,14501
9/25/19,38947,75075,34282,19851
9/26/19,33810,79522,42476,15774
9/27/19,30037,98274,63663,16352
9/30/19,7219,70002,39391,5544
10/1/19,65627,44907,23216,23038
10/2/19,70715,52497,22540,29307
10/3/19,76123,61213,23040,33751
10/4/19,66476,44166,17394,22773
10/7/19,65766,42839,21356,20786
10/8/19,73829,60310,27122,31085
10/9/19,65904,46705,27108,22644
10/10/19,68811,49248,29392,22538
10/11/19,76939,52839,30612,25234
10/14/19,70110,61640,30543,27911
10/15/19,56705,55864,23715,22567
